event_id,event_title,event_artist_name,event_starts_at,event_ticket_count,expected_ticket_type_baseline,expected_logistic_regression,expected_catboost,expected_xgboost
ft_evt_0042,TRASNOCHE CALI — RESIDENCIA SÁBADO,TRASNOCHE CALI,2026-08-15T20:00:00+00:00,71.0,56.097475261654424,55.160718714855726,56.86504254378997,56.06649860739708
ft_evt_0043,TRASNOCHE CALI — RESIDENCIA SÁBADO,TRASNOCHE CALI,2026-08-22T20:00:00+00:00,65.0,25.419962849676693,32.67822082030188,25.056587547835573,25.234931975603104
ft_evt_0044,TRASNOCHE CALI — RESIDENCIA SÁBADO,TRASNOCHE CALI,2026-08-29T20:00:00+00:00,56.0,47.495495391511724,44.47254226045799,47.29382504896655,46.806455329060555
ft_evt_0046,TRES SILLAS — FUNCIÓN ÚNICA,TRES SILLAS,2026-08-22T19:30:00+00:00,427.0,327.13329053182866,299.34443851633625,317.5059449808241,309.2816564440727
ft_evt_0048,CUENTO CORTO — SHOW DE TEMPORADA,CUENTO CORTO,2026-08-19T19:00:00+00:00,210.0,164.34016759262963,160.31974492628183,161.58792872284505,160.9754727333784
ft_evt_0050,SIN FILTRO — ESPECIAL DE IMPROVISACIÓN,SIN FILTRO,2026-08-20T19:30:00+00:00,424.0,392.46049912138767,399.8591731905657,389.1511808397084,389.3772858083248
ft_evt_0052,SEGUNDA FUNCIÓN — ESPECIAL DE IMPROVISACIÓN,SEGUNDA FUNCIÓN,2026-08-07T20:30:00+00:00,436.0,326.8095479165397,286.32835467256365,318.69780415597955,309.67472437024117
ft_evt_0054,CUENTO CORTO — COMEDIA SIN RED,CUENTO CORTO,2026-08-26T19:30:00+00:00,273.0,106.7638439686421,54.86881230418069,96.07104715970144,92.24635131657124
ft_evt_0056,SIN FILTRO — ESPECIAL DE IMPROVISACIÓN,SIN FILTRO,2026-08-06T20:30:00+00:00,378.0,352.57239231910427,344.79258483458415,350.2959256448792,352.4340362250805
ft_evt_0058,ROAST DE MEDIANOCHE — COMEDIA SIN RED,ROAST DE MEDIANOCHE,2026-08-04T19:30:00+00:00,232.0,90.72971355576912,97.13360735120717,105.63532286571203,99.79107408225536
ft_evt_0060,SIN FILTRO — MATERIAL NUEVO,SIN FILTRO,2026-08-08T19:30:00+00:00,623.0,243.64056700536275,123.39925758274602,231.61384681001715,244.7828138768673
ft_evt_0062,LOS DEL FONDO — FUNCIÓN ÚNICA,LOS DEL FONDO,2026-08-19T19:30:00+00:00,286.0,111.84783653857745,83.04961255503804,105.27718238463859,112.3182076215744
